timestamp,other_cpu_pct
2026-09-14T02:59:55,118
2026-09-14T03:00:25,243
2026-09-14T03:00:55,133
2026-09-14T03:01:25,144
2026-09-14T03:01:55,150
2026-09-14T03:02:25,139
2026-09-14T03:02:55,150
2026-09-14T03:03:25,134
2026-09-14T03:03:55,132
2026-09-14T03:04:26,149
2026-09-14T03:04:56,143
2026-09-14T03:05:26,147
2026-09-14T03:05:56,142
2026-09-14T03:06:26,127
2026-09-14T03:06:56,121
2026-09-14T03:07:26,128
2026-09-14T03:07:56,129
2026-09-14T03:08:26,147
2026-09-14T03:08:56,139
2026-09-14T03:09:26,110
2026-09-14T03:09:56,126
2026-09-14T03:10:26,147
2026-09-14T03:10:56,141
2026-09-14T03:11:26,125
2026-09-14T03:11:57,242
2026-09-14T03:12:27,252
2026-09-14T03:12:57,204
2026-09-14T03:13:27,169
2026-09-14T03:13:57,178
2026-09-14T03:14:27,175
2026-09-14T03:14:57,150
2026-09-14T03:15:27,142
2026-09-14T03:15:57,166
2026-09-14T03:16:27,156
2026-09-14T03:16:57,141
2026-09-14T03:17:27,138
2026-09-14T03:17:57,137
2026-09-14T03:18:27,152
2026-09-14T03:18:57,151
2026-09-14T03:19:28,127
2026-09-14T03:19:58,132
2026-09-14T03:20:28,133
2026-09-14T03:20:58,146
2026-09-14T03:21:28,132
2026-09-14T03:21:58,121
2026-09-14T03:22:28,134
2026-09-14T03:22:58,128
2026-09-14T03:23:28,178
2026-09-14T03:23:58,128
2026-09-14T03:24:28,121
2026-09-14T03:24:58,127
2026-09-14T03:25:28,143
2026-09-14T03:25:58,139
2026-09-14T03:26:28,158
2026-09-14T03:26:59,204
2026-09-14T03:27:29,150
2026-09-14T03:27:59,138
2026-09-14T03:28:29,130
2026-09-14T03:28:59,132
2026-09-14T03:29:29,144
2026-09-14T03:29:59,131
2026-09-14T03:30:29,141
2026-09-14T03:30:59,117
2026-09-14T03:31:29,129
2026-09-14T03:31:59,150
2026-09-14T03:32:29,138
2026-09-14T03:32:59,135
2026-09-14T03:33:29,140
2026-09-14T03:33:59,132
2026-09-14T03:34:30,153
2026-09-14T03:35:00,168
2026-09-14T03:35:30,115
2026-09-14T03:36:00,118
2026-09-14T03:36:30,158
2026-09-14T03:37:00,118
2026-09-14T03:37:30,149
2026-09-14T03:38:00,135
2026-09-14T03:38:30,126
2026-09-14T03:39:00,129
2026-09-14T03:39:30,136
2026-09-14T03:40:00,129
2026-09-14T03:40:30,139
2026-09-14T03:41:00,144
2026-09-14T03:41:30,117
2026-09-14T03:42:01,132
2026-09-14T03:42:31,136
2026-09-14T03:43:01,139
2026-09-14T03:43:31,154
2026-09-14T03:44:01,145
2026-09-14T03:44:31,147
2026-09-14T03:45:01,138
2026-09-14T03:45:31,150
2026-09-14T03:46:01,131
2026-09-14T03:46:31,149
2026-09-14T03:47:01,133
2026-09-14T03:47:31,149
2026-09-14T03:48:01,138
2026-09-14T03:48:31,132
2026-09-14T03:49:01,133
2026-09-14T03:49:32,148
2026-09-14T03:50:02,217
2026-09-14T03:50:32,221
2026-09-14T03:51:02,4
2026-09-14T03:51:32,20
2026-09-14T03:52:02,177
2026-09-14T03:52:32,133
2026-09-14T03:53:02,138
2026-09-14T03:53:32,131
2026-09-14T03:54:02,134
2026-09-14T03:54:32,130
2026-09-14T03:55:02,138
2026-09-14T03:55:32,149
